Name,Latitude,Longitude,popup_header,popupimage_url,Description,icon_url,category,Category2,Category3,complex
Jose Antonio Cabrera 5225 C1414 CABA,-34.5877417164857,-58.4343831593624,DIGITAL NOMAD MEETUP (Thu.),https://github.com/checomoandas/noblenomad/blob/1032e68665d774705333e0617291210ff4f4ff48/MundoLingoWednesday.png?raw=true,8PM-2AM (Thursday - January 18) Jose A. Cabrera 5225 Cerveceria 1516),https://raw.githubusercontent.com/checomoandas/noblenomad/main/TransparentMapIcon.svg,social,thu,,
Jose A. Cabrera 4427 C1414 CABA,-34.5938957,-58.4264211,MUNDO LINGO (Wed.),https://github.com/checomoandas/noblenomad/blob/1032e68665d774705333e0617291210ff4f4ff48/MundoLingoWednesday.png?raw=true,9PM - 3AM (every Wednesday) - Easily mingle to meet nomads and locals. Flag stickers handed out of the languages you speak to encourage socializing.,https://raw.githubusercontent.com/checomoandas/noblenomad/main/TransparentMapIcon.svg,social,wed,,
Honduras 5903 C1414 CABA,-34.5814675056748,-58.4394427728738,MUNDO LINGO (Thu.),https://github.com/checomoandas/noblenomad/blob/1032e68665d774705333e0617291210ff4f4ff48/MundoLingoWednesday.png?raw=true,9PM - 3AM (every Thursday) - Easily mingle to meet nomads and locals. Flag stickers handed out of the languages you speak to encourage socializing.,https://raw.githubusercontent.com/checomoandas/noblenomad/main/TransparentMapIcon.svg,social,thu,,
Costa Rica 4863 C1425 CABA,-34.5861546698312,-58.4287502668498,ALWAYS GYM COSTA RICA,https://github.com/checomoandas/noblenomad/blob/1032e68665d774705333e0617291210ff4f4ff48/MundoLingoWednesday.png?raw=true,Well maintained Gym,https://raw.githubusercontent.com/checomoandas/noblenomad/main/TransparentMapIcon.svg,gym,,,
Costa Rica 4901 C1414 CABA,-34.5863888236655,-58.4291628765822,SPANGLISH MIXER (Thu.),https://github.com/checomoandas/noblenomad/blob/1032e68665d774705333e0617291210ff4f4ff48/MundoLingoWednesday.png?raw=true,7PM-9PM (Every Thursday) Costa Rica 4901,https://raw.githubusercontent.com/checomoandas/noblenomad/main/TransparentMapIcon.svg,social,thu,,
Sarmiento 3131 CABA ,-34.6062703953183,-58.4104349203808,LA BOMBA DE TIEMPO (Mon.),https://github.com/checomoandas/noblenomad/blob/main/LaBombadeTiempo.jpg?raw=true,8PM every Monday – An upbeat drum show ,https://raw.githubusercontent.com/checomoandas/noblenomad/main/TransparentMapIcon.svg,event,mon,,
Defensa 1086 C1065AAT CABA,-34.6202230838669,-58.3713141278796,SAN TELMO STREET FAIR (Sun.),https://github.com/checomoandas/noblenomad/blob/main/SanTelmoStreetFair.jpg?raw=true,9AM to 6:30PM Every Sunday Calle Defensa becomes a pedestrian street fair lined with performers and vendors selling a variety of foods and souveneirs,https://raw.githubusercontent.com/checomoandas/noblenomad/main/TransparentMapIcon.svg,market,sun,,
Costa Rica 5893 Esquina Dr. Emilio Ravignani C1414 Buenos Aires,-34.5798914257316,-58.4374951016108,ARTEMISIA,https://github.com/checomoandas/noblenomad/blob/main/Artemesia.jpg?raw=true,Serves fish vegan options available. Serves fresh bread plant-based milks vegan burgers vegan pasta vegetable dishes and cereals Open Mon-Sun 12:00pm-12:00am.,https://raw.githubusercontent.com/checomoandas/noblenomad/main/TransparentMapIcon.svg,healthy,,,
Nicaragua 4817 Primer Piso C1414 CABA,-34.5858188280275,-58.4269851976784,MANAWA COWORKING,https://github.com/checomoandas/noblenomad/blob/main/ManawaCoworking.png?raw=true,http://www.manawacoworking.com/,https://raw.githubusercontent.com/checomoandas/noblenomad/main/TransparentMapIcon.svg,coworking,,,
"Thames 1919, C1414DDM CABA",-34.58527788573115,-58.4276294241107,SELINA COWORKING,https://github.com/checomoandas/noblenomad/blob/main/SelinaCowork.jpg?raw=true,Phone: +5491138138221 Whatsapp: +5491159301285 Email: cowork.palermo@selina.com,https://raw.githubusercontent.com/checomoandas/noblenomad/main/TransparentMapIcon.svg,coworking,,,
